Lieu de prêt,Emplacement,"Nb prêt
02/01/17","Nb prêt
03/01/17","Nb prêt
04/01/17","Nb prêt
05/01/17","Nb prêt
06/01/17","Nb prêt
07/01/17","Nb prêt
09/01/17","Nb prêt
10/01/17","Nb prêt
11/01/17","Nb prêt
12/01/17","Nb prêt
13/01/17","Nb prêt
14/01/17","Nb prêt
16/01/17","Nb prêt
17/01/17","Nb prêt
18/01/17","Nb prêt
19/01/17","Nb prêt
20/01/17","Nb prêt
21/01/17","Nb prêt
23/01/17","Nb prêt
24/01/17","Nb prêt
25/01/17","Nb prêt
26/01/17","Nb prêt
27/01/17","Nb prêt
28/01/17","Nb prêt
30/01/17","Nb prêt
31/01/17"
                         ,ARTS,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,2,0,0,0,0,0,1,0,0,0
                         ,GRAPHISME,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
                         ,BD ADULTES,0,10,29,1,11,44,0,16,49,3,25,43,0,8,18,11,34,50,0,12,30,21,1,18,1,7
                         ,BD JEUNESSE,0,29,46,10,40,112,0,25,95,20,43,35,0,16,77,29,30,75,0,19,72,18,35,106,0,59
                         ,CINEMA ADULTES,0,2,2,1,1,0,0,13,0,4,0,0,0,2,2,1,2,10,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
                         ,CINEMA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,DANSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
                         ,GEOGRAPHIE,0,0,0,0,0,0,0,2,1,0,1,0,0,3,1,0,8,0,0,0,0,0,0,1,0,0
                         ,HISTOIRE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
                         ,INFORMATIQUE,0,1,3,1,1,2,0,3,0,0,0,3,0,1,1,1,0,0,0,7,0,10,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,5,0,0,1,0,0,0,3,1,2,1,0,3,2,0,0,3,0,0,0,1,2,0,0,5
                         ,JEUX D'EXERCICES,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
                         ,JEUX A REGLES,0,30,15,10,37,24,3,10,21,16,21,32,1,13,25,9,6,20,0,34,27,16,18,38,0,8
                         ,JEUX SYMBOLIQUES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
                         ,JEUX VIDEO,0,11,16,5,12,14,0,0,7,2,10,17,0,9,12,8,11,19,0,7,15,7,6,19,0,11
                         ,LANGUES,0,9,0,0,3,13,0,0,2,1,0,4,0,8,5,6,0,5,0,14,11,9,0,6,0,4
                         ,LITTERATURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,LOISIRS CREATIFS,0,5,3,5,1,10,0,2,2,8,0,9,0,2,1,2,8,3,0,20,16,2,1,14,0,2
                         ,MUSIQUE ADULTES,0,1,1,5,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE,0,0,0,0,0,0,1,6,2,1,3,2,0,4,2,1,0,0,0,1,9,1,2,1,0,0
