Lieu de prêt,Emplacement,"Nb prêt
01/03/17","Nb prêt
02/03/17","Nb prêt
03/03/17","Nb prêt
04/03/17","Nb prêt
06/03/17","Nb prêt
07/03/17","Nb prêt
08/03/17","Nb prêt
09/03/17","Nb prêt
10/03/17","Nb prêt
11/03/17","Nb prêt
13/03/17","Nb prêt
14/03/17","Nb prêt
15/03/17","Nb prêt
16/03/17","Nb prêt
17/03/17","Nb prêt
18/03/17","Nb prêt
20/03/17","Nb prêt
21/03/17","Nb prêt
22/03/17","Nb prêt
23/03/17","Nb prêt
24/03/17","Nb prêt
25/03/17","Nb prêt
27/03/17","Nb prêt
28/03/17","Nb prêt
29/03/17","Nb prêt
30/03/17","Nb prêt
31/03/17"
                         ,VIE PRATIQUE,12,0,5,0,7,0,13,0,9,0,6,5,8,0,1,0,1,5,14,0,5,0,6,5,23,2,1
                         ,THEATRE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ludothèque Municipale,TOTAL,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon,TOTAL,360,158,307,497,27,207,299,132,184,427,24,201,366,128,267,312,3,141,418,114,156,307,10,166,332,124,219
                         ,ALBUMS,89,20,55,77,25,63,65,9,42,80,21,46,100,23,40,60,0,22,128,30,14,49,0,30,157,11,21
                         ,ARTS,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
                         ,GRAPHISME,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES,34,11,10,55,0,8,12,5,10,48,0,6,24,4,9,19,0,2,20,8,29,31,1,5,4,18,16
                         ,BD JEUNESSE,90,26,32,93,0,20,64,19,13,87,1,53,80,31,46,47,0,26,114,7,12,73,3,11,36,15,31
                         ,CINEMA ADULTES,1,0,6,12,0,2,0,0,0,6,0,0,0,1,0,0,0,2,0,2,2,2,0,0,0,0,0
                         ,CINEMA JEUNESSE,0,0,0,0,0,6,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
                         ,CINEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
                         ,DANSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,GEOGRAPHIE,2,0,0,1,0,0,0,0,2,0,0,1,3,0,0,0,0,0,2,2,3,0,0,2,4,0,0
                         ,HISTOIRE,1,0,0,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
                         ,INFORMATIQUE,0,0,3,0,0,1,4,4,3,6,0,1,1,3,9,0,0,2,0,0,5,1,0,1,3,2,0
                         ,JEUX D'ASSEMBLAGE,3,2,0,2,0,2,1,1,1,0,0,3,2,1,0,0,0,1,0,2,0,1,0,0,1,0,2
                         ,JEUX D'EXERCICES,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0
                         ,JEUX A REGLES,34,10,50,36,0,16,32,14,14,28,0,6,22,7,14,27,0,17,37,4,18,29,0,19,17,13,43
                         ,JEUX SYMBOLIQUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO,15,6,8,28,0,7,9,4,10,15,0,16,15,1,12,19,0,7,16,2,9,9,0,3,12,4,4
                         ,LANGUES,4,2,10,3,0,4,8,17,1,1,0,2,10,13,14,2,0,10,0,3,1,4,0,1,8,8,2
                         ,LITTERATURE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,FONDS LOCAL,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS,6,0,5,13,0,8,5,2,4,12,0,2,4,3,5,3,0,4,1,0,1,1,0,1,1,4,1
                         ,MUSIQUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE,3,2,2,0,1,0,0,0,4,1,1,0,3,0,0,0,0,1,4,2,0,1,0,0,0,0,0
                         ,PHILOSOPHIE,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE,0,10,20,20,1,0,16,4,0,13,0,12,9,4,5,22,0,0,19,6,5,8,0,11,7,1,31
                         ,FONDS PRO,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,PSYCHOLOGIE,0,4,3,16,0,6,2,1,10,5,0,5,6,1,1,2,0,2,7,7,1,0,0,2,5,1,3
                         ,RELIGIONS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,ROMANS ADULTES,28,34,36,36,0,24,23,32,23,28,0,26,17,12,53,41,0,25,23,23,23,21,2,39,23,34,40
                         ,ROMANS JEUNESSE,27,22,29,42,0,18,20,3,24,47,1,10,43,10,18,38,0,7,27,8,14,48,1,29,16,8,9
                         ,SCIENCES,10,0,4,5,0,2,12,2,2,10,0,4,10,2,8,6,0,0,3,0,4,5,0,0,5,0,0
                         ,SOCIETE,0,1,2,14,0,9,16,0,6,10,0,4,2,0,9,1,0,5,4,2,5,9,1,5,1,1,5
                         ,SPORTS ET LOISIRS,0,0,5,3,0,2,0,1,0,7,0,0,2,1,0,1,0,1,3,0,3,4,0,0,1,0,1
                         ,VIE PRATIQUE,10,4,23,28,0,9,8,8,12,19,0,3,12,7,21,12,3,4,8,3,6,9,1,6,25,4,8
                         ,THEATRE,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,1,0,0
                         ,xx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
